user_id,task_id,task,service_name,time,location,response_time,availability,successability,latency,cost,QoSmean,QoS_rating,Accessibility_rating
504,0,Identify user location,Location_service,Morning,Public,352.34765336524214,82.00802747896888,104.34789241864206,104.07855475501883,0.6449068048958797,0.8779970435905365,4,4
491,0,Identify user location,Location_service,Afternoon,Public,315.22933859510016,90.94872715535253,96.25119987254136,97.40273273584098,0.41279235224741395,0.8903104607949903,4,5
601,0,Identify user location,Location_service,Morning,Private,344.88882740352,79.52293974829765,75.44116090112097,110.69904359346977,0.2145444782864815,0.8695688756736408,3,4
928,0,Identify user location,Location_service,Afternoon,Private,290.82588174608236,90.20530704120992,100.6343333499043,103.67039588246439,0.6909076209985805,0.8963172272013258,4,3
453,0,Identify user location,Location_service,Morning,Private,315.7012498732455,78.87374146336616,83.51599006495017,103.1982167278678,0.9284086991106345,0.8817377176821397,5,4
794,0,Identify user location,Location_service,Morning,Private,332.49128930593656,89.92586285367219,81.63749657600538,107.09447430477493,0.9068415296830828,0.8785619517246244,5,4
314,0,Identify user location,Location_service,Afternoon,Private,358.99356144432136,104.09205578992255,99.31356612964656,105.20427693833616,0.7183605268807522,0.8805563966101001,4,3
690,0,Identify user location,Location_service,Morning,Public,244.99664057497776,88.43714011399794,97.97693854288545,108.33922718909942,0.29873623953988027,0.9064505228819115,4,3
259,0,Identify user location,Location_service,Afternoon,Private,267.4260210573188,94.14902432362851,109.31953126664175,105.42796549654284,0.5767095854530531,0.9057709280924237,4,4
994,0,Identify user location,Location_service,Evening,Public,275.79348793777854,80.04208508076364,102.80651258896438,101.98771993258315,0.6215746317808223,0.898723747167759,4,4
105,0,Identify user location,Location_service,Afternoon,Public,301.5287199197373,74.89144804123416,65.06712382685323,116.31897335528967,0.572513198481057,0.8758402210482824,4,5
726,0,Identify user location,Location_service,Morning,Public,309.45947233030324,101.82494220937674,88.78951592719977,112.32893623416372,0.8668357661429087,0.8887265854786326,5,4
804,0,Identify user location,Location_service,Evening,Public,376.71341388857047,90.77872551427738,95.40639688351995,101.04820751637907,0.7509826368742505,0.8720645624740849,5,5
822,0,Identify user location,Location_service,Evening,Public,281.0477040239803,78.08583392128983,85.672925536262,94.478883546212,0.5773788749031115,0.8940797578869368,4,3
798,0,Identify user location,Location_service,Morning,Private,258.75646987335216,77.61208055706402,90.00319708390421,90.0588577940368,0.7297329515464349,0.9025118693400183,5,4
558,0,Identify user location,Location_service,Afternoon,Public,275.77006306471816,71.23347320468794,82.57324433188617,97.2137398259892,0.3531298770105593,0.892035916732745,4,2
627,0,Identify user location,Location_service,Evening,Public,357.2932177100046,87.66558196672761,99.74558628926356,116.97995836718394,0.2585345168875941,0.8733650533050642,3,3
896,0,Identify user location,Location_service,Afternoon,Private,356.9951109681131,97.36957794114005,107.08950799886402,86.66348044142225,0.36352063890173714,0.8865127387805481,4,4
